DEC,HEX,Mode,Alpha Tag,Description,Tag
2143,85f,D,SCH15CL4,"McGavock, Overton Clusters",Schools
2145,861,D,SCH16CL5,"Pearl, Cohn, Stratford, Whites Creek Clusters",Schools
3701,e75,D,COD 1DA,Dispatch and Administration,Public Works
3703,e77,D,COD 2BU,Building Inspections,Public Works
3705,e79,D,COD 3EL,Electrical Inspections,Public Works
3707,e7b,D,COD 4ME,Mechanical Inspections,Public Works
3709,e7d,D,COD 5PL,Plumbing Inspections,Public Works
3711,e7f,D,COD 6HZ,Housing Inspections,Public Works
2075,81b,D,GS 1GSA,Administration,Public Works
2097,831,D,GS 2GSS1D,Court House Security,Security
2081,821,D,GS 3RS1,Radio Shop 1,Public Works
2083,823,D,GS 4RS2,Radio Shop 2,Public Works
2089,829,D,GS 5BOSS1,BOSS Operations 1,Public Works
2087,827,D,GS 6BOSS2,BOSS Operations 2,Public Works
2093,82d,D,GS 7HAZM,Hazmat Operations,Emergency Ops
4091,ffb,D,GS 8WWS,Weather Warning Sirens,Emergency Ops
4093,ffd,D,GS WWS P25,Weather Warning Sirens (P25 system),Emergency Ops
2079,81f,D,GS 9FMP,Fleet Motor Pool,Public Works
2099,833,D,GS 10 RV,Riverview,Public Works
2101,835,D,GS 11 SEC,Security TOD,Security
2103,837,D,GS SEC HLTH,Security Public Health Center,Schools
2105,839,D,GS SEC 2105,Security 2105,Security
10080,2760,D,GS WWS NEW,Weather Warning Sirens (New),Emergency Ops
2161,871,D,METRO DA 1,District Attorney Office,Law Tac
2241,8c1,D,METRO TV 1,Traffic Violations Bureau,Law Tac
2327,917,D,METRO ABC 1,Alcohol Beverage Control Board,Law Tac
2331,91b,D,METRO TWRC 1,Taxi and Wrecker Regulatory Control Board,Law Tac
3073,c01,D,PW 1PWAD,Administration,Public Works
3075,c03,D,PW 2 OPS,Operations,Public Works
3077,c05,D,PW 3TOPS,Traffic Operations,Public Works
3079,c07,D,PW 4COM1,Command 1,Public Works
3081,c09,D,PW 5COM2,Command 2,Public Works
2401,961,D,MTA1 BUS,Dispatch,Transportation
2403,963,D,MTA2 AC,Access Ride,Transportation
2405,965,D,MTA3 MAT,Maintenance,Transportation
2407,967,D,MTA4 ADM,Administration,Transportation
2409,969,D,MTA5 SAF,Safety,Transportation
2411,96b,D,MTA6 SUP1,Supervisor 1,Transportation
2413,96d,D,MTA7 SUP2,Supervisor 2,Transportation
2415,96f,D,EMRV,Emergency Revert,Transportation
10560,2940,D,MTA1 BUS,Dispatch,Transportation
10561,2941,D,MTA2 AC,Access Ride,Transportation
10562,2942,D,MTA3 MAT,Maintenance,Transportation
10563,2943,D,MTA4 ADM,Administration,Transportation
3653,e45,D,A1 ADM,Administrative 1,Utilities
3617,e21,D,A2 SER,System Services,Utilities
3619,e23,D,A3 OPS,Operations,Utilities
3621,e25,D,A4 4CS,Customer Service,Utilities
3623,e27,D,A5 WENG,Engineering,Utilities
3625,e29,D,A6 W FM,Fleet Maintenance,Utilities
3627,e2b,D,B1 WSTRS,Stores,Utilities
3629,e2d,D,B2 WPRMT,Permits,Utilities
3631,e2f,D,B3 W CSO,Storm Sewer Overflow Response,Utilities
3633,e31,D,B4 W MR,Meter Reading,Utilities
3635,e33,D,B5 OMOH,OmohundroWaste Water Treatment Plant,Utilities
3637,e35,D,B6 CWWTP,Central Waste Water Treatment Plant,Utilities
3639,e37,D,B7 KRH,KR Harrington Waste Water Treatment Plant,Utilities
3641,e39,D,B8DCWWTP,Dry Creek Waste Water Treatment Plant,Utilities
3643,e3b,D,B9WCWWTP,White Creek Waste Water Treatment Plant,Utilities
3645,e3d,D,B10 W SM,Sewer Maintenance,Utilities
3647,e3f,D,B11 W WM,Water Maintenance,Utilities
3649,e41,D,B12WTOOF,Service Turn Ons Offs,Utilities
3651,e43,D,B13WINSP,Inspection,Utilities
2321,911,D,ME 1,Medical Examiners Office,Law Tac
2501,9c5,D,HEA 1MAC,Animal Control Services,Law Tac
2503,9c7,D,HEA 2 BT,Bio Terrorism Operations,Emergency Ops
2505,9c9,D,HEA 3EMT,Executive Management,Emergency Ops
2507,9cb,D,HEA 4LOG,Logistics,Emergency Ops
2509,9cd,D,HEA 5OPS,Operations,Emergency Ops
2511,9cf,D,HEA6ICBT,ICBT Management,Emergency Ops
10604,296c,D,Davidsn OEM Disp,Dispatch,Emergency Ops
